Timestamp,Please enter your participant ID,Please enter your estimated average treatment effect for the treated (SATT),Please enter the standard deviation of the estimated SATT,Please enter the 95% confidence interval for the estimated SATT,"Please enter the point estimate of the SATT for `mom_race` at level ""A"".","Please enter the 95% confidence interval of the estimated SATT for `mom_race` at level ""A"".",To interpret these results causally what assumptions would you have to make. Please summarize in one to two sentences at most.,What language did you use in today in running the analysis as part of this study?,What approach did you use for running the analysis as part of this study?,How long did it take for you to run the data analysis needed to answer the causal question you were assigned with today? ,How proficient/familiar are you with the tool you used in today's analysis?,Please rate the ease of use of the tool you used in today's analysis.,Please rate your confidence in the results of your analysis.,"If were ""stuck"" at any point in your analysis, did the tool you were using have a user guide or documentation that was able to unblock you or did you need external assistance? ",Did you experience any lagging or crashing of the software (you were using to run your analysis)?,"If you used thinkCausal today, how frequently do you use online web-based tools like thinkCausal for data analysis and answering causal questions?",What do you think are the primary drawbacks of the tool you used today? ,What were the most useful features of the tool you used today?,What improvements would you suggest for the tool you used today?,Would you recommend this tool to a fellow colleague/researcher for analysing their data to answer causal questions?,Is there anything else you would like us to know about your experience today?,Would you like to receive feedback (via follow up email) on your analysis today?
12/13/2023 9:59:34,100027,5.533,0.2755,"(4.993, 6.073)",9.71,"(2.932, 16.488)","SUTVA, support that is that the distribution of the potential confounders has enough overlap, no unmeasured confounders",R,bartCause,~ 1hour,1,4,3,The tool had resources that I could use to resolve my issue,No,1,"Easy to miss parameters that need setting/unsetting, Visualizing and inspecting the data and modeling results is time/skill intensive, could have had more worked examples in the documentation showing how to deal with parameters","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results",I was getting one error with an error message I couldn't parse - could have more useful error messages,Yes,Nope!,Yes
12/13/2023 11:31:34,100013,5.449,0.185,"5.0864,5.8116",8.316,"5.262,11.37","We would have to assume independence, and SUTVA.",R,Linear regression,10 minutes,3,3,3,The tool had resources that I could use to resolve my issue,No,1,documentation for causal specific packages in R is quite limited,"Rich and easy to use documentation/user guide, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available",,Maybe if they had some prior experience with the tool/related software packages,N/A,Yes
12/14/2023 14:55:17,100026,5.94,0.168,"5.68,6.265",9.3748,"5.013,11.6195","Ignorability( no other confounders), SUTVA(variables won't affect each other), Linearity(the relationship between the outcome and predictor variables hold a linear trend) ",R,Linear regression,30mins,5,3,2,The tool had resources that I could use to resolve my issue,No,2,Limited scope in terms of the kinds of analysis that can be done,"Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Software is freely available",more user guidance,Yes,No,Yes
12/15/2023 10:26:11,100010,3.967,0.068,"(3.831, 4.098)",9.0291,"(6.8717, 9.8386)",SUTVA,No programming language,thinkCausal,15 min,4,5,4,NA,a short waiting time was required for analysis results,4,"Data privacy compromised as it requires sharing data with third-party, Lack of sufficient explanation compromises my confidence on the results","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Easily accessible and interpretable analysis results, Software is freely available","If more details on how the results were obtained and potential violation of analysis assumption could be available, that would be great.",Yes,NA,Yes
12/15/2023 18:23:38,100015,3.967,0.068,"[3.831, 4.098]",9.0291,"[6.8717,9.8386]",1. Making sure that all pre-treatment covariances have been considered; 2. Making sure selected covariances are balanced,Use the thinkCausal Program,thinkCausal,approximately 10 minutes,1,5,2,The tool had resources that I could use to resolve my issue,No,5,"Data privacy compromised as it requires sharing data with third-party, Couldn't remember enough about causal inference to have a clear idea how to proceed","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well","The UI/UX design is great and easy to use. However, when selecting the covariances, because there are a lot of variables and some are named in a not so intuitive way, I lost patience to identify whether or not they are pre-treatment or not, just select all of them.",Yes,Could the background information get printed as well? ,Yes
12/18/2023 9:59:22,100018,5.523,0.2794,"4.975, 6.07",5.2,"4.9, 5.0",Based on the fitted bart tree structure..,R,bartCause,55 min,1,1,2,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Hard to find useful documentation/user support, Easy to miss parameters that need setting/unsetting",Software is freely available,"The documents provide more examples and intuitive parameters settings, be specific about the input format requirements.",No,NA,Yes
12/18/2023 14:28:17,100025,3.967,0.068,3.831-4.098,9.0291,6.8717-9.8386,"Proper randomization, SUTVA",R,thinkCausal,25 min,1,4,1,I eventually figured it out,No,2,"Easy to miss parameters that need setting/unsetting, Visualizing and inspecting the data and modeling results is time/skill intensive","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available","I got stuck looking for the lower and upper confidence intervals on mom_race. Would recommend naming them something more intuitive than lci and uci (I know they are obvious-ish, but if you're looking at a lot of acronyms you don't know, it doesn't stand out)",Yes,No,Yes
12/18/2023 16:44:53,10004,4.7,0.149,44.41 4.99,10.12,3.53 16.71,"assuming full compliance with treatment, no overlap between groups",R,Propensity score matching/weighting using R,35 mins,4,3,1,The tool had resources that I could use to resolve my issue,No,1,"Hard to find useful documentation/user support, Couldn't remember enough about causal inference to have a clear idea how to proceed, Need more time to confirm options selected are appropriate - winged it ","Intuitiveness/easy to follow, Easy to re-run analysis in case of errors/system lag or crashing",,Maybe if they had some prior experience with the tool/related software packages,Nope ,Yes
12/18/2023 17:32:04,10007,5.57,0.18,5.27 - 5.93,5.57,5.27 - 5.93,"By participating in the preschool program, the IQ of the children would increase by 5.57 units.",R,Linear regression,30 minites,1,1,1,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,Reminded me about causal inference basics that I had forgotten or no longer understand well,,Maybe if they had some prior experience with the tool/related software packages,N/A,No
12/19/2023 15:00:10,100017,4.85,0.14,4.57-5.13,10.15,-51.19-71.49,"Ignorability, SUTVA, Balance, Overlap",R,Propensity score matching/weighting using R,1.5 hours,4,3,4,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,5,"Slow in processing, Hard to find useful documentation/user support, Visualizing and inspecting the data and modeling results is time/skill intensive","Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results",Probably more functions which i can directly use and help debug code better,Maybe if they had some prior experience with the tool/related software packages,Would have been better to have some direction,Yes
